Timestamp;p227;p235;PUMP_1
2019-01-01 00:00:00;88,14;90,89;44,02
2019-01-01 00:05:00;82,9;83,3;44,04
2019-01-01 00:10:00;81,96;85,61;44,04
2019-01-01 00:15:00;80,26;82,47;44,05
2019-01-01 00:20:00;87,5;89,94;44,01
2019-01-01 00:25:00;80,26;82,04;44,04
2019-01-01 00:30:00;76,03;75,27;44,06
2019-01-01 00:35:00;80,93;81,11;44,04
2019-01-01 00:40:00;76,91;79,99;44,05
2019-01-01 00:45:00;78,21;78,57;44,04
2019-01-01 00:50:00;73,32;76,2;44,06
2019-01-01 00:55:00;70,84;74;44,06
2019-01-01 01:00:00;74,14;76,51;44,05
2019-01-01 01:05:00;70,75;71,49;44,06
2019-01-01 01:10:00;71,05;73,05;44,05
2019-01-01 01:15:00;68,03;68,91;44,06
2019-01-01 01:20:00;69,19;70,37;44,06
2019-01-01 01:25:00;64,31;66,03;44,07
2019-01-01 01:30:00;63,9;66,93;44,07
2019-01-01 01:35:00;66,19;68,41;44,06
2019-01-01 01:40:00;62,52;64,48;44,07
2019-01-01 01:45:00;62,83;64,54;44,07
2019-01-01 01:50:00;60,81;62,19;44,07
2019-01-01 01:55:00;62,56;65,29;44,06
2019-01-01 02:00:00;62,15;64,15;44,06
2019-01-01 02:05:00;57,75;59,7;44,07
2019-01-01 02:10:00;57,59;58,3;44,07
2019-01-01 02:15:00;56,62;57,81;44,07
2019-01-01 02:20:00;58,19;60,35;44,06
2019-01-01 02:25:00;56,63;58,87;44,06
2019-01-01 02:30:00;56,59;57,53;44,06
2019-01-01 02:35:00;57,1;58,97;44,06
2019-01-01 02:40:00;55;56,52;44,06
2019-01-01 02:45:00;57,62;58,75;44,05
2019-01-01 02:50:00;55,31;57,79;44,05
2019-01-01 02:55:00;54,46;55,76;44,06
2019-01-01 03:00:00;54,4;55,92;44,06
2019-01-01 03:05:00;54,32;55,55;44,06
2019-01-01 03:10:00;53,28;53,89;44,06
2019-01-01 03:15:00;52,49;54,17;44,06
2019-01-01 03:20:00;53,99;55,59;44,06
2019-01-01 03:25:00;53,79;55,36;44,05
2019-01-01 03:30:00;52,8;54,76;44,05
2019-01-01 03:35:00;54,29;56,06;44,05
2019-01-01 03:40:00;29,98;30,42;0
2019-01-01 03:45:00;30,88;29,53;0
2019-01-01 03:50:00;31,44;31,97;0
2019-01-01 03:55:00;29,86;29,73;0
2019-01-01 04:00:00;30,02;28,66;0
2019-01-01 04:05:00;28,64;28,08;0
2019-01-01 04:10:00;31,01;29,85;0
2019-01-01 04:15:00;29,71;29,14;0
2019-01-01 04:20:00;32,73;32,64;0
2019-01-01 04:25:00;27,7;27,01;0
2019-01-01 04:30:00;30,13;29,98;0
2019-01-01 04:35:00;27,33;25,74;0
2019-01-01 04:40:00;32,44;32,72;0
2019-01-01 04:45:00;29,71;29,41;0
2019-01-01 04:50:00;30,83;30,74;0
2019-01-01 04:55:00;31,12;31,76;0
2019-01-01 05:00:00;31,31;30,32;0
2019-01-01 05:05:00;31,2;31,86;0
2019-01-01 05:10:00;34,4;33,96;0
2019-01-01 05:15:00;31,58;30,52;0
2019-01-01 05:20:00;36,85;37,58;0
2019-01-01 05:25:00;37,21;37,55;0
2019-01-01 05:30:00;36,9;36,43;0
2019-01-01 05:35:00;34,86;34,55;0
2019-01-01 05:40:00;38,08;37,78;0
2019-01-01 05:45:00;42,32;40,53;0
2019-01-01 05:50:00;43,72;42,89;0
2019-01-01 05:55:00;44,58;44,82;0
2019-01-01 06:00:00;49,14;49,93;0
2019-01-01 06:05:00;47,07;45,17;0
2019-01-01 06:10:00;58,46;58,07;0
2019-01-01 06:15:00;62,25;61,26;0
2019-01-01 06:20:00;64,82;63,36;0
2019-01-01 06:25:00;65,28;64,41;0
2019-01-01 06:30:00;64,11;64,99;0
2019-01-01 06:35:00;78,71;77,67;0
2019-01-01 06:40:00;72,82;73,41;0
2019-01-01 06:45:00;76,21;72,8;0
2019-01-01 06:50:00;73,69;71,88;0
2019-01-01 06:55:00;73,84;73,97;0
2019-01-01 07:00:00;78,21;74,81;0
2019-01-01 07:05:00;84,15;84,24;0
2019-01-01 07:10:00;84,69;82,6;0
2019-01-01 07:15:00;78,32;79,84;0
2019-01-01 07:20:00;90,92;91,78;0
2019-01-01 07:25:00;90,35;89,67;0
2019-01-01 07:30:00;97,54;97,72;0
2019-01-01 07:35:00;98,35;98,77;0
2019-01-01 07:40:00;102,08;101,84;0
2019-01-01 07:45:00;101,16;99,09;0
2019-01-01 07:50:00;93,93;92,98;0
2019-01-01 07:55:00;95,8;95,97;0
2019-01-01 08:00:00;99,97;99,12;0
2019-01-01 08:05:00;92,87;93,35;0
2019-01-01 08:10:00;96,99;97,3;0
2019-01-01 08:15:00;97,41;93,01;0
2019-01-01 08:20:00;102,53;101,71;0
2019-01-01 08:25:00;99,69;102,76;0
2019-01-01 08:30:00;94,25;96,19;0
2019-01-01 08:35:00;103,58;105,23;0
2019-01-01 08:40:00;104,82;103,82;0
2019-01-01 08:45:00;93,08;93,55;0
2019-01-01 08:50:00;94,82;98,01;0
2019-01-01 08:55:00;90,87;92,9;0
2019-01-01 09:00:00;92,05;93,62;0
2019-01-01 09:05:00;100,04;100,69;0
2019-01-01 09:10:00;103,69;104,45;0
2019-01-01 09:15:00;95,06;94,32;0
